,Altitude,Latitude,Longitude,Injury.Severity,Aircraft.Damage,Number.of.Engines,Engine.Type,Purpose.of.Flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.Phase.of.Flight,Total.Passengers
100,34.1,33.9425,-118.408056,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,165,VMC,TAKEOFF,165
101,367.2,39.16472292,-96.61041184,INCIDENT,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,163,VMC,TAXI,163
102,341.7,33.435277,-112.01,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,162,VMC,LANDING,162
103,484.6,35.213611,-80.949166,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,159,VMC,APPROACH,159
104,647.3,35.0,-79.0,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,158,VMC,DESCENT,159
105,1635.6,39.861667,-104.673056,INCIDENT,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,157,VMC,DESCENT,157
106,367.2,39.16472292,-96.61041184,NON-FATAL,SUBSTANTIAL,3,TURBO FAN,UNKNOWN,0,0,0,157,VMC,TAKEOFF,157
107,367.2,36.121389,-86.673611,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,156,VMC,TAXI,156
108,22.8,39.16472292,-96.61041184,INCIDENT,MINOR,3,TURBO FAN,UNKNOWN,0,0,0,156,VMC,TAKEOFF,156
109,692.0,42.21,-71.0,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,154,VMC,CLIMB,155
110,5.6,39.16472292,-96.61041184,NON-FATAL,MINOR,3,TURBO FAN,UNKNOWN,0,1,0,154,IMC,TAKEOFF,155
111,643.1,39.860556,-75.273889,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,154,VMC,TAKEOFF,154
112,367.2,36.08,-115.152222,INCIDENT,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,154,VMC,TAKEOFF,154
113,2.7,39.16472292,-96.61041184,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,4,150,VMC,LANDING,154
114,117.8,40.687222,-74.1775,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,153,VMC,STANDING,153
115,8.4,47.463611,-122.31333300000001,INCIDENT,DESTROYED,2,TURBO FAN,UNKNOWN,0,0,0,153,VMC,LANDING,153
116,2339.6,26.536111,-81.755278,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,2,2,149,VMC,APPROACH,153
117,332.8,37.785277,-119.706944,NON-FATAL,SUBSTANTIAL,2,TURBO JET,UNKNOWN,0,1,0,151,VMC,APPROACH,152
118,367.2,39.16472292,-96.61041184,INCIDENT,MINOR,3,TURBO FAN,UNKNOWN,0,0,0,152,VMC,LANDING,152
119,446.4,44.875834000000005,-93.219723,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,149,IMC,APPROACH,150
120,367.2,40.777223,-73.8725,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,8,141,VMC,LANDING,149
121,449.7,32.868334000000004,-116.55,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,147,VMC,APPROACH,148
122,700.0,0.0,0.0,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,147,IMC,DESCENT,148
123,304.6,37.721667,-122.221667,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,1,0,147,VMC,TAXI,148
124,10.7,33.636666,-84.427778,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,148,VMC,LANDING,148
125,295.9,33.636666,-84.427778,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,146,VMC,TAKEOFF,147
126,367.2,33.818334,-118.144722,INCIDENT,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,147,VMC,TAKEOFF,147
127,1.7,33.9425,-118.408056,INCIDENT,MINOR,2,TURBO JET,UNKNOWN,0,0,0,146,VMC,TAKEOFF,146
128,10928.2,39.16472292,-96.61041184,INCIDENT,DESTROYED,4,TURBO JET,UNKNOWN,0,0,17,129,VMC,CRUISE,146
129,176.1,27.91,-82.6875,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,1,7,137,VMC,TAXI,145
130,448.7,39.175278000000006,-76.668334,NON-FATAL,SUBSTANTIAL,4,TURBO FAN,UNKNOWN,0,0,0,145,VMC,APPROACH,145
131,251.3,32.896944,-97.038055,INCIDENT,MINOR,2,TURBO FAN,UNKNOWN,0,0,0,145,VMC,TAXI,145
132,367.2,44.880556,-93.216945,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,7,137,VMC,TAXI,145
133,332.8,44.880556,-93.216945,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,7,137,VMC,CLIMB,145
134,341.3,39.16472292,-96.61041184,FATAL,SUBSTANTIAL,2,TURBO JET,UNKNOWN,2,2,3,137,VMC,TAKEOFF,144
135,207.4,33.434166,-112.01166699999999,NON-FATAL,MINOR,2,TURBO FAN,UNKNOWN,0,1,0,143,VMC,STANDING,144
136,395.1,28.5,-79.5,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,143,VMC,DESCENT,144
137,7.1,33.636944,-84.42805600000001,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,144,VMC,STANDING,144
138,472.2,26.372778000000004,-81.262778,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,142,VMC,DESCENT,143
139,698.6,38.748611,-90.366945,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,0,0,143,VMC,CLIMB,143
140,698.2,35.285833000000004,-80.821389,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,141,IMC,APPROACH,142
141,666.3,26.44,-82.05,NON-FATAL,SUBSTANTIAL,2,TURBO FAN,UNKNOWN,0,1,0,141,VMC,DESCENT,142
