type	latitude	longitude	altitude (m)	name
T	26.735000000	-81.051000000	5.8	
T	37.816000000	-85.965000000	208.5	
T	43.864000000	-121.455000000	1267.5	
T	30.358000000	-85.796000000	19.6	
T	36.041000000	-95.983000000	189.2	
T	39.988000000	-81.181000000	382.9	
T	21.581000000	-158.188000000	1.0	
T	41.330000000	-72.045000000	2.8	
T	39.006000000	-119.157000000	1333.6	
T	33.901000000	-87.304000000	141.1	
T	42.717000000	-82.611000000	186.8	
T	33.870000000	-117.991000000	24.8	
T	36.893000000	-121.410000000	67.7	
T	40.846000000	-84.158000000	238.8	
T	35.964000000	-83.874000000	253.7	
T	61.996000000	-159.367000000	16.0	
T	37.043000000	-100.921000000	864.1	
T	40.583000000	-74.737000000	55.9	
T	42.084000000	-76.094000000	251.6	
T	34.113000000	-117.681000000	437.0	
T	37.634000000	-85.242000000	259.3	
T	61.243000000	-150.415000000	4.9	
T	38.013000000	-75.819000000	1.3	
T	30.782000000	-95.488000000	69.4	
T	26.148000000	-97.590000000	7.9	
T	32.698000000	-95.214000000	124.9	
T	44.867000000	-123.198000000	54.0	
T	28.620000000	-81.349000000	19.8	
T	33.070000000	-96.065000000	162.5	
T	65.337000000	-146.726000000	630.9	
T	33.068000000	-96.065000000	162.8	
T	33.068000000	-96.065000000	162.8	
T	60.320000000	-150.597000000	260.9	
T	38.350000000	-94.340000000	263.0	
T	38.044000000	-121.839000000	0.0	
T	34.982000000	-106.013000000	1889.1	
T	33.989000000	-117.410000000	230.7	
T	40.273000000	-74.808000000	52.8	
T	37.566000000	-97.174000000	409.1	
T	28.294000000	-81.440000000	24.2	
T	35.617000000	-106.089000000	1922.4	
T	43.998000000	-69.884000000	12.6	
T	39.446000000	-87.317000000	173.1	
T	39.104000000	-101.007000000	967.8	
T	46.661000000	-68.389000000	176.9	
T	38.525000000	-121.704000000	13.0	
T	40.412000000	-86.937000000	181.3	
T	39.608000000	-77.008000000	238.9	
T	34.021000000	-100.328000000	586.5	
T	59.040000000	-158.458000000	29.9	
T	47.493000000	-122.216000000	7.1	
T	30.543000000	-87.565000000	39.7	
T	38.526000000	-77.860000000	91.6	
T	34.849000000	-111.788000000	1466.4	
T	39.570000000	-104.849000000	1778.7	
T	36.291000000	-92.590000000	207.7	
T	40.482000000	-111.428000000	1710.7	
T	40.960000000	-80.680000000	308.3	
T	40.614000000	-84.000000000	319.5	
T	38.149000000	-89.699000000	160.9	
T	38.193000000	-90.386000000	131.2	
T	64.360000000	-147.360000000	254.4	
T	32.390000000	-97.434000000	262.4	
T	38.926000000	-74.943000000	0.0	
T	32.224000000	-80.698000000	4.9	
T	37.038000000	-121.118000000	166.7	
T	41.375000000	-81.193000000	350.6	
T	38.942000000	-76.772000000	47.6	
T	33.044000000	-84.432000000	232.9	
T	27.163000000	-80.286000000	5.2	
